shiftThreshold,lagBook,pnl
0.3,6,8147.941446518598
0.3,7,8747.941446518598
0.3,8,11747.941446518598
0.3,9,14547.941446518598
0.3,10,17347.9414465186
0.3,11,17747.9414465186
0.3,12,19947.9414465186
0.3,13,18747.9414465186
0.3,14,17747.9414465186
0.3,15,17547.9414465186
0.3,16,14547.941446518598
0.3,17,9347.941446518598
0.3,18,6947.941446518598
0.3,19,3547.9414465185982
0.3,20,1547.9414465185982
0.3,21,547.9414465185982
0.3,22,-4052.0585534814018
0.3,23,-5452.058553481402
0.3,24,-10252.058553481402
0.3,25,-10652.058553481402
0.3,26,-14652.058553481402
0.3,27,-16652.0585534814
0.3,28,-19052.0585534814
0.3,29,-22452.0585534814
0.3,30,-24052.0585534814
0.3,31,-24452.0585534814
0.3,32,-26852.0585534814
0.3,33,-28452.0585534814
0.3,34,-28652.0585534814
0.3,35,-30052.0585534814
0.3,36,-31852.0585534814
0.3,37,-33252.0585534814
0.3,38,-35452.0585534814
0.3,39,-32652.0585534814
0.3,40,-35252.0585534814
0.3,41,-33252.0585534814
0.3,42,-31652.0585534814
0.3,43,-31652.0585534814
0.3,44,-30252.0585534814
0.3,45,-29252.0585534814
0.3,46,-33052.0585534814
0.3,47,-32052.0585534814
0.3,48,-31452.0585534814
0.3,49,-30452.0585534814
0.3,50,-26052.0585534814
0.3,51,-25252.0585534814
0.3,52,-20652.0585534814
0.3,53,-20852.0585534814
0.3,54,-19052.0585534814
0.3,55,-21452.0585534814
0.3,56,-19652.0585534814
0.3,57,-21252.0585534814
0.3,58,-21252.0585534814
0.3,59,-22252.0585534814
0.3,60,-25852.0585534814
0.3,61,-25052.0585534814
0.3,62,-25252.0585534814
0.3,63,-24252.0585534814
0.3,64,-22852.0585534814
0.3,65,-22252.0585534814
0.3,66,-21052.0585534814
0.3,67,-17852.0585534814
0.3,68,-13052.058553481402
0.3,69,-10252.058553481402
0.3,70,-11252.058553481402
0.3,71,-10452.058553481402
0.3,72,-10652.058553481402
0.3,73,-9652.058553481402
0.3,74,-7052.058553481402
0.3,75,-7252.058553481402
0.3,76,-4852.058553481402
0.3,77,-2252.0585534814018
0.3,78,-1252.0585534814018
0.3,79,-3452.0585534814018
0.3,80,-5252.058553481402
0.3,81,-4452.058553481402
0.3,82,-3652.0585534814018
0.3,83,-852.0585534814018
0.3,84,947.9414465185982
0.3,85,2947.9414465185982
0.3,86,3147.9414465185982
0.3,87,5347.941446518598
0.3,88,7747.941446518598
0.3,89,8347.941446518598
0.3,90,11347.941446518598
0.3,91,10147.941446518598
0.3,92,11147.941446518598
0.3,93,12747.941446518598
0.3,94,12147.941446518598
0.3,95,12147.941446518598
0.3,96,13347.941446518598
0.3,97,14747.941446518598
0.3,98,16347.941446518598
0.3,99,17547.9414465186
0.4,1,-8653.730667679338
0.4,2,1746.2693323206622
0.4,3,5546.269332320662
0.4,4,8546.269332320662
0.4,5,9546.269332320662
0.4,6,10146.269332320662
0.4,7,10546.269332320662
0.4,8,11146.269332320662
0.4,9,11946.269332320662
0.4,10,15546.269332320662
0.4,11,16346.269332320662
0.4,12,16946.269332320662
0.4,13,15946.269332320662
0.4,14,16346.269332320662
0.4,15,13746.269332320662
0.4,16,12146.269332320662
0.4,17,9546.269332320662
0.4,18,9146.269332320662
0.4,19,8946.269332320662
0.4,20,7746.269332320662
0.4,21,4946.269332320662
0.4,22,3946.269332320662
0.4,23,1146.2693323206622
0.4,24,746.2693323206622
0.4,25,-653.7306676793378
0.4,26,-1253.7306676793378
0.4,27,-2453.730667679338
0.4,28,-5653.730667679338
